status,host_id,registry_ip,observed_ip,registry_macs,observed_mac,vendor,hostnames,mdns_names,notes
changed,myplace-tablet,10.1.1.109,10.1.1.109,b6:29:43:61:d4:b6,b6:29:43:61:d4:b6,Unknown,,,locally administered MAC
changed,speaker-switch,10.1.1.177,10.1.1.177,de:ad:be:ef:fe:ed,de:ad:be:ef:fe:ed,"(Unknown: locally administered), Unknown",,,locally administered MAC
changed,wearable-01,10.1.1.135,10.1.1.101,24:6f:28:b9:af:2c,24:6f:28:b9:af:2c,"Espressif, Espressif Inc.",,,unregistered IP observed: 10.1.1.101
changed,irene-macbook,10.1.1.110,10.1.1.110,b2:d1:bb:c4:23:e2,b2:d1:bb:c4:23:e2,"(Unknown: locally administered), Unknown",,,locally administered MAC
unknown,,,10.1.1.108,,b0:99:d7:4b:00:94,"Samsung Electronics Co.,Ltd",,,
unknown,,,10.1.1.102,,90:bf:d9:28:de:e8,(Unknown),,,
missing,irene-iphone,10.1.1.105,,f0:d7:93:32:00:69,,,,,registry host not seen live
missing,tv-french-room,10.1.1.131,,84:c0:ef:63:46:08,,,,,registry host not seen live
missing,chain-counter,10.1.1.120,,24:0a:c4:f6:a0:7c,,,,,registry host not seen live
missing,solar-monitor,10.1.1.121,,24:0a:c4:f6:a7:3c,,,,,registry host not seen live
missing,dfrobot-edge101,10.1.1.133,,80:f3:da:6b:3c:74,,,,,registry host not seen live
